0,1,2,3,4
1962 National League Team Standings1962 All-Star Game| 1962 Team Standings |1962 World Series,,,,
Team | Roster,W,L,WP,GB
San Francisco Giants,103,62,.624,0
Los Angeles Dodgers,102,63,.618,1
Cincinnati Reds,98,64,.605,3½
Pittsburgh Pirates,93,68,.578,8
Milwaukee Braves,86,76,.531,15½
St. Louis Cardinals,84,78,.519,17½
Philadelphia Phillies,81,80,.503,20
Houston Colt .45s,64,96,.400,36½
Chicago Cubs,59,103,.364,42½
New York Mets,40,120,.250,60½
Team | Roster,W,L,WP,GB
National League Team Standings,,,,
