0,1,2,3,4
1967 National League Team Standings1967 All-Star Game| 1967 Team Standings |1967 World Series,,,,
Team | Roster,Wins,Losses,WP,GB
St. Louis Cardinals,101,60,.627,0
San Francisco Giants,91,71,.562,10½
Chicago Cubs,84,74,.540,14
Cincinnati Reds,87,75,.537,14½
Philadelphia Phillies,82,80,.506,19½
Pittsburgh Pirates,81,81,.500,20½
Atlanta Braves,77,85,.475,24½
Los Angeles Dodgers,73,89,.451,28½
Houston Astros,69,93,.426,32½
New York Mets,61,101,.377,40½
Team | Roster,Wins,Losses,WP,GB
1967 NNL Team Final Standings,,,,
