0,1,2,3,4,5
1977 National League Team Standings1977 All-Star Game| 1977 Team Standings |1977 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Philadelphia Phillies,101,61,.623,0,
Pittsburgh Pirates,96,66,.593,5,
St. Louis Cardinals,83,79,.512,18,
Chicago Cubs,81,81,.500,20,
Montreal Expos,75,87,.463,26,
New York Mets,64,98,.395,37,
West,Team [Click for roster],Wins,Losses,WP,GB
Los Angeles Dodgers,98,64,.605,0,
Cincinnati Reds,88,74,.543,10,
Houston Astros,81,81,.500,17,
San Francisco Giants,75,87,.463,23,
San Diego Padres,69,93,.426,29,
Atlanta Braves,61,101,.377,37,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
