0,1,2,3,4
2005 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Chris Carpenter,St. Louis,7,Top 25
Dontrelle Willis,Florida,,,
ERA,Roger Clemens,Houston,1.87,Top 25
Games,Scott Eyre,San Francisco,86,Top 25
Saves,Chad Cordero,Washington,47,Top 25
Shutouts,Dontrelle Willis,Florida,5,Top 25
Strikeouts,Jake Peavy,San Diego,216,Top 25
Winning Percentage,Chris Carpenter,St. Louis,.808,Top 25
Wins,Dontrelle Willis,Florida,22,Top 25
Statistic,Name,Team,#,Top 25
