0,1,2,3,4
1946 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Johnny Sain,Boston,24,Top 25
ERA,Howie Pollet,St. Louis,2.10,Top 25
Games,Ken Trinkle,New York,48,Top 25
Saves,Ken Raffensberger,Philadelphia,6,Top 25
Shutouts,Ewell Blackwell,Cincinnati,5,Top 25
Harry Brecheen,St. Louis,,,
Strikeouts,Johnny Schmitz,Chicago,135,Top 25
Winning Percentage,Murry Dickson,St. Louis,.714,Top 25
Wins,Howie Pollet,St. Louis,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
