0,1,2,3,4
1897 National League Pitcher Review←1896| 1897 Pitching Statistics League Leaders |1898→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Red Donahue,St. Louis,38,Top 25
Clark Griffith,Chicago,,,
Frank Killen,Pittsburgh,,,
ERA,Amos Rusie,New York,2.54,Top 25
Games,Red Donahue,St. Louis,46,Top 25
Kid Nichols,Boston,,,
Win Mercer,Washington,,,
Cy Young,Cleveland,,,
Saves,Kid Nichols,Boston,3,Top 25
Win Mercer,Washington,,,
Shutouts,Doc McJames,Washington,3,Top 25
Win Mercer,,,,
Strikeouts,Doc McJames,Washington,156,Top 25
Winning Percentage,Fred Klobedanz,Boston,.788,Top 25
Wins,Kid Nichols,Boston,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
1897 N.L. History |Year-by-Year History,,,,
