0,1,2,3,4,5,6
2001 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,88,74,.543,0,"$91,851,587",
Philadelphia Phillies,86,76,.531,2,"$41,664,167",
New York Mets,82,80,.506,6,"$93,174,428",
Florida Marlins,76,86,.469,12,"$35,504,167",
Montreal Expos,68,94,.420,20,"$34,774,500",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Houston Astros,93,69,.574,0,"$60,382,667",
St. Louis Cardinals,93,69,.574,0,"$77,270,855",
Chicago Cubs,88,74,.543,5,"$64,015,833",
Milwaukee Brewers,68,94,.420,25,"$43,089,333",
Cincinnati Reds,66,96,.407,27,"$45,227,882",
Pittsburgh Pirates,62,100,.383,31,"$52,698,333",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Arizona Diamondbacks,92,70,.568,0,"$81,206,513",
San Francisco Giants,90,72,.556,2,"$63,332,667",
Los Angeles Dodgers,86,76,.531,6,"$108,980,952",
San Diego Padres,79,83,.488,13,"$38,333,117",
Colorado Rockies,73,89,.451,19,"$71,068,000",
National League Team Standings,,,,,,
