0,1,2,3,4
2009 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Matt Cain,San Francisco,4,Top 25
Tim Lincecum,San Francisco,,,
ERA,Chris Carpenter,St. Louis,2.24,Top 25
Games,Pedro Feliciano,New York,88,Top 25
Saves,Heath Bell,San Diego,42,Top 25
Shutouts,Bronson Arroyo,Cincinnati,2,Top 25
Cole Hamels,Philadelphia,,,
J.A. Happ,Philadelphia,,,
Tim Lincecum,San Francisco,,,
Joel Pineiro,St. Louis,,,
Strikeouts,Tim Lincecum,San Francisco,261,Top 25
Winning Percentage,Chris Carpenter,St. Louis,.810,Top 25
Wins,Adam Wainwright,St. Louis,19,Top 25
Statistic,Name,Team,#,Top 25
