0,1,2,3,4,5
1978 National League Team Standings1978 All-Star Game| 1978 Team Standings |1978 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Philadelphia Phillies,90,72,.556,0,
Pittsburgh Pirates,88,73,.547,1½,
Chicago Cubs,79,83,.488,11,
Montreal Expos,76,86,.469,14,
St. Louis Cardinals,69,93,.426,21,
New York Mets,66,96,.407,24,
West,Team [Click for roster],Wins,Losses,WP,GB
Los Angeles Dodgers,95,67,.586,0,
Cincinnati Reds,92,69,.571,2½,
San Francisco Giants,89,73,.549,6,
San Diego Padres,84,78,.519,11,
Houston Astros,74,88,.457,21,
Atlanta Braves,69,93,.426,26,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
