0,1,2,3,4
1886 American Association Pitcher Review←1885| 1886 Pitching Statistics League Leaders |1887→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Matt Kilroy,Baltimore,66,Top 25
Toad Ramsey,Louisville,,,
ERA,Dave Foutz,St. Louis,2.11,Top 25
Games,Matt Kilroy,Baltimore,68,Top 25
Saves,Bones Ely,Louisville,1,n/a
Dave Foutz,St. Louis,,,
Nat Hudson,St. Louis,,,
Ed Morris,Pittsburgh,,,
Shutouts,Ed Morris,Pittsburgh,12,Top 25
Strikeouts,Matt Kilroy,Baltimore,513,Top 25
Winning Percentage,Dave Foutz,St. Louis,.719,Top 25
Wins,Dave Foutz,St. Louis,41,Top 25
Ed Morris,Pittsburgh,,,
Statistic,Name(s),Team(s),#,Top 25
1886 A.A. History |1886 N.L. History|Year-by-Year History,,,,
