0,1,2,3,4
1895 National League Pitcher Review←1894| 1895 Pitching Statistics League Leaders |1896→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Ted Breitenstein,St. Louis,46,Top 25
ERA,Al Maul,Washington,2.45,Top 25
Games,Pink Hawley,Pittsburgh,56,Top 25
Saves,Ernie Beam,Philadelphia,3,Top 25
Kid Nichols,Boston,,,
Tom Parrott,Cincinnati,,,
Shutouts,Pink Hawley,Pittsburgh,4,Top 25
Bill Hoffer,Baltimore,,,
Sadie McMahon,Baltimore,,,
Amos Rusie,New York,,,
Cy Young,Cleveland,,,
Strikeouts,Amos Rusie,New York,201,Top 25
Winning Percentage,Bill Hoffer,Baltimore,.838,Top 25
Wins,Cy Young,Cleveland,35,Top 25
Statistic,Name(s),Team(s),#,Top 25
1895 N.L. History |Year-by-Year History,,,,
