0,1,2,3,4
1900 National League Pitcher Review←1899| 1900 Pitching Statistics League Leaders |1901→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Pink Hawley,New York,34,Top 25
ERA,Rube Waddell,Pittsburgh,2.37,Top 25
Games,Bill Carrick,New York,45,Top 25
Saves,Frank Kitson,Brooklyn,4,Top 25
Shutouts,Clark Griffith,Chicago,4,Top 25
Noodles Hahn,Cincinnati,,,
Kid Nichols,Boston,,,
Cy Young,St. Louis,,,
Strikeouts,Noodles Hahn,Cincinnati,132,Top 25
Winning Percentage,Joe McGinnity,Brooklyn,.778,Top 25
Wins,Joe McGinnity,Brooklyn,28,Top 25
Statistic,Name(s),Team(s),#,Top 25
1900 N.L. History |Year-by-Year History,,,,
