0,1,2,3,4
1967 National League Pitcher Review←1966| 1967 Pitching Statistics League Leaders |1968→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Fergie Jenkins,Chicago,20,Top 25
ERA,Phil Niekro,Atlanta,1.87,Top 25
Games,Ted Abernathy,Cincinnati,70,Top 25
Ron Perranoski,Los Angeles,,,
Saves,Ted Abernathy,Cincinnati,28,Top 25
Shutouts,Jim Bunning,Philadelphia,6,Top 25
Strikeouts,Jim Bunning,Philadelphia,253,Top 25
Winning Percentage,Dick Hughes,St. Louis,.727,Top 25
Wins,Mike McCormick,San Francisco,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1967 N.L. History |1967 A.L. History|Year-by-Year History,,,,
