0,1,2,3,4
2007 National League Pitcher Review←2006| 2007 N.L. Pitching Statistics League Leaders |2008→,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Brandon Webb,Arizona,4,Top 25
ERA,Jake Peavy,San Diego,2.54,Top 25
Games,Jon Rauch,Washington,88,Top 25
Saves,Jose Valverde,Arizona,47,Top 25
Shutouts,Brandon Webb,Arizona,3,Top 25
Strikeouts,Jake Peavy,San Diego,240,Top 25
Winning Percentage,Brad Penny,Los Angeles,.800,Top 25
Wins,Jake Peavy,San Diego,19,Top 25
Statistic,Name,Team,#,Top 25
2007 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
