0,1,2,3,4
1925 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Pete Donohue,Cincinnati,27,Top 25
ERA,Dolf Luque,Cincinnati,2.63,Top 25
Games,Johnny Morrison,Pittsburgh,44,Top 25
Saves,Guy Bush,Chicago,4,Top 25
Johnny Morrison,Pittsburgh,,,
Shutouts,Hal Carlson,Philadelphia,4,Top 25
Dolf Luque,Cincinnati,,,
Dazzy Vance,Brooklyn,,,
Strikeouts,Dazzy Vance,Brooklyn,221,Top 25
Winning Percentage,Bill Sherdel,St. Louis,.714,Top 25
Wins,Dazzy Vance,Brooklyn,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
