0,1,2,3,4
1923 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Burleigh Grimes,Brooklyn,33,Top 25
ERA,Dolf Luque,Cincinnati,1.93,Top 25
Games,Claude Jonnard,New York,45,Top 25
Rosy Ryan,New York,,,
Saves,Claude Jonnard,New York,5,Top 25
Shutouts,Dolf Luque,Cincinnati,5,Top 25
Strikeouts,Dazzy Vance,Brooklyn,197,Top 25
Winning Percentage,Dolf Luque,Cincinnati,.771,Top 25
Wins,Dolf Luque,Cincinnati,27,Top 25
Statistic,Name(s),Team(s),#,Top 25
