0,1,2,3,4,5
1974 National League Team Standings1974 All-Star Game| 1974 Team Standings |1974 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Pittsburgh Pirates,88,74,.543,0,
St. Louis Cardinals,86,75,.534,1½,
Philadelphia Phillies,80,82,.491,8,
Montreal Expos,79,82,.491,8½,
New York Mets,71,91,.438,17,
Chicago Cubs,66,96,.407,22,
West,Team [Click for roster],Wins,Losses,WP,GB
Los Angeles Dodgers,102,60,.630,0,
Cincinnati Reds,98,64,.605,4,
Atlanta Braves,88,74,.543,14,
Houston Astros,81,81,.500,21,
San Francisco Giants,72,90,.444,30,
San Diego Padres,60,102,.370,42,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
