0,1,2,3,4,5,6
2002 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,101,59,.631,--,"$93,470,367",
Montreal Expos,83,79,.512,19,"$38,670,500",
Philadelphia Phillies,80,81,.497,21½,"$57,955,000",
Florida Marlins,79,83,.488,23,"$41,979,917",
New York Mets,75,86,.466,26½,"$94,633,593",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
St. Louis Cardinals,97,65,.599,--,"$74,098,267",
Houston Astros,84,78,.519,13,"$63,448,417",
Cincinnati Reds,78,84,.481,19,"$45,050,390",
Pittsburgh Pirates,72,89,.447,24½,"$42,323,598",
Chicago Cubs,67,95,.414,30,"$75,690,833",
Milwaukee Brewers,56,106,.346,41,"$50,287,833",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Arizona Diamondbacks,98,64,.605,--,"$102,820,000",
San Francisco Giants,95,66,.590,2½,"$78,299,835",
Los Angeles Dodgers,92,70,.568,6,"$94,850,952",
Colorado Rockies,73,89,.451,25,"$56,851,043",
San Diego Padres,66,96,.407,32,"$41,425,000",
National League Team Standings,,,,,,
