0,1,2,3,4
1961 National League Pitcher Review←1960| 1961 Pitching Statistics League Leaders |1962→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Milwaukee,21,Top 25
ERA,Warren Spahn,Milwaukee,3.02,Top 25
Games,Jack Baldschun,Philadelphia,65,Top 25
Saves,Roy Face,Pittsburgh,17,Top 25
Stu Miller,San Francisco,,,
Shutouts,Joey Jay,Cincinnati,4,Top 25
Warren Spahn,Milwaukee,,,
Strikeouts,Sandy Koufax,Los Angeles,269,Top 25
Winning Percentage,Johnny Podres,Los Angeles,.783,Top 25
Wins,Joey Jay,Cincinnati,25,Top 25
Warren Spahn,Milwaukee,,,
Statistic,Name(s),Team(s),#,Top 25
1961 N.L. History |1961 A.L. History|Year-by-Year History,,,,
