0,1,2,3,4,5,6
1993 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Philadelphia Phillies,97,65,.599,0,"$28,695,858",
Montreal Expos,94,68,.580,3,"$17,622,040",
St. Louis Cardinals,87,75,.537,10,"$24,190,667",
Chicago Cubs,84,78,.519,13,"$36,005,976",
Pittsburgh Pirates,75,87,.463,22,"$24,318,667",
Florida Marlins,64,98,.395,33,"$21,172,545",
New York Mets,59,103,.364,38,"$40,822,667",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,104,58,.642,0,"$47,206,416",
San Francisco Giants,103,59,.636,1,"$36,342,322",
Houston Astros,85,77,.525,19,"$30,130,233",
Los Angeles Dodgers,81,81,.500,23,"$33,529,000",
Cincinnati Reds,73,89,.451,31,"$41,641,387",
Colorado Rockies,67,95,.414,37,"$14,872,588",
San Diego Padres,61,101,.377,43,"$12,842,333",
National League Team Standings,,,,,,
