0,1,2,3,4
1953 National League Pitcher Review←1952| 1953 National League Pitching Statistics Leaders |1954→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Robin Roberts,Philadelphia,33,Top 25
ERA,Warren Spahn,Milwaukee,2.10,Top 25
Games,Hoyt Wilhelm,New York,68,Top 25
Saves,Al Brazle,St. Louis,18,Top 25
Shutouts,Harvey Haddix,St. Louis,6,Top 25
Strikeouts,Robin Roberts,Philadelphia,198,Top 25
Winning Percentage,Carl Erskine,Brooklyn,.769,Top 25
Wins,Robin Roberts,Philadelphia,23,Top 25
Warren Spahn,Milwaukee,,,
Statistic,Name(s),Team(s),#,Top 25
1953 N.L. History |1953 A.L. History|Year-by-Year History,,,,
