0,1,2,3,4,5
1895 National LeagueTeam Standings,,,,,
Team | Roster,W,L,T,WP,GB
Baltimore Orioles,87,43,2,.669,0
Cleveland Spiders,84,46,1,.646,3
Philadelphia Phillies,78,53,2,.595,9½
Chicago Colts,72,58,3,.554,15
Brooklyn Bridegrooms,71,60,2,.542,16½
Boston Beaneaters,71,60,1,.542,16½
Pittsburgh Pirates,71,61,3,.538,17
Cincinnati Reds,66,64,2,.508,21
New York Giants,66,65,1,.504,21½
Washington Senators,43,85,4,.336,43
St. Louis Browns,39,92,5,.298,48½
Louisville Colonels,35,96,2,.267,52½
Team | Roster,W,L,T,WP,GB
1895 National League Team Standings,,,,,
