0,1,2,3,4
1878 National League Pitcher Review←1877| 1878 Pitching Statistics League Leaders |1879→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Tommy Bond,Boston,57,Top 25
ERA,John Ward,Providence,1.51,Top 25
Games,Tommy Bond,Boston,59,Top 25
Saves,Tom Healey,Providence,2,Top 25
Indianapolis,,,,
Shutouts,Tommy Bond,Boston,9,Top 25
Strikeouts,Tommy Bond,Boston,182,Top 25
Winning Percentage,Harry Wheeler,Providence,.857,Top 25
Wins,Tommy Bond,Boston,40,Top 25
Statistic,Name(s),Team(s),#,Top 25
1878 N.L. History |Year-by-Year History,,,,
