0,1,2,3,4
1984 National League Pitcher Review←1983| 1984 Pitching Statistics League Leaders |1985→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Mario Soto,Cincinnati,13,Top 25
ERA,Alejandro Pena,Los Angeles,2.48,Top 25
Games,Ted Power,Cincinnati,78,Top 25
Saves,Bruce Sutter,St. Louis,45,Top 25
Shutouts,Joaquin Andujar,St. Louis,4,Top 25
Orel Hershiser,Los Angeles,,,
Alejandro Pena,Los Angeles,,,
Strikeouts,Dwight Gooden,New York,276,Top 25
Winning Percentage,Rick Sutcliffe,Chicago,.941,Top 25
Wins,Joaquin Andujar,St. Louis,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
1984 N.L. History |1984 A.L. History|Year-by-Year History,,,,
