0,1,2,3,4,5
1976 National League Team Standings1976 All-Star Game| 1976 Team Standings |1976 World Series,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB
Philadelphia Phillies,101,61,.623,0,
Pittsburgh Pirates,92,70,.568,9,
New York Mets,86,76,.531,15,
Chicago Cubs,75,87,.463,26,
St. Louis Cardinals,72,90,.444,29,
Montreal Expos,55,107,.340,46,
West,Team [Click for roster],Wins,Losses,WP,GB
Cincinnati Reds,102,60,.630,0,
Los Angeles Dodgers,92,70,.568,10,
Houston Astros,80,82,.494,22,
San Francisco Giants,74,88,.457,28,
San Diego Padres,73,89,.451,29,
Atlanta Braves,70,92,.432,32,
N.L.,Team [Click for roster],Wins,Losses,WP,GB
National League Team Standings,,,,,
