0,1,2,3,4
1899 National League Pitcher Review←1898| 1899 Pitching Statistics League Leaders |1900→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Bill Carrick,New York,40,Top 25
Jack Powell,St. Louis,,,
Cy Young,St. Louis,,,
ERA,Vic Willis,Boston,2.50,Top 25
Games,Sam Leever,Pittsburgh,51,Top 25
Saves,Sam Leever,Pittsburgh,3,Top 25
Shutouts,Vic Willis,Boston,5,Top 25
Strikeouts,Noodles Hahn,Cincinnati,145,Top 25
Winning Percentage,Jay Hughes,Brooklyn,.824,Top 25
Al Orth,Philadelphia,,,
Wins,Jay Hughes,Brooklyn,28,Top 25
Joe McGinnity,Baltimore,,,
Statistic,Name(s),Team(s),#,Top 25
1899 N.L. History |Year-by-Year History,,,,
