0,1,2,3,4,5,6
1996 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,96,66,.593,0,"$53,797,000",
Montreal Expos,88,74,.543,8,"$17,264,500",
Florida Marlins,80,82,.494,16,"$25,311,000",
New York Mets,71,91,.438,25,"$29,890,167",
Philadelphia Phillies,67,95,.414,29,"$30,403,458",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
St. Louis Cardinals,88,74,.543,0,"$38,730,666",
Houston Astros,82,80,.506,6,"$29,613,000",
Cincinnati Reds,81,81,.500,7,"$43,696,946",
Chicago Cubs,76,86,.469,12,"$32,605,000",
Pittsburgh Pirates,73,89,.451,15,"$16,994,160",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
San Diego Padres,91,71,.562,0,"$33,376,026",
Los Angeles Dodgers,90,72,.556,1,"$37,313,500",
Colorado Rockies,83,79,.512,8,"$41,108,990",
San Francisco Giants,68,94,.420,23,"$34,646,793",
National League Team Standings,,,,,,
