0,1,2,3,4
1990 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Ramon Martinez,Los Angeles,12,Top 25
ERA,Danny Darwin,Houston,2.21,Top 25
Games,Juan Agosto,Houston,82,Top 25
Saves,John Franco,New York,33,Top 25
Shutouts,Bruce Hurst,San Diego,4,Top 25
Mike Morgan,Los Angeles,,,
Strikeouts,David Cone,New York,233,Top 25
Winning Percentage,Doug Drabek,Pittsburgh,.786,Top 25
Wins,Doug Drabek,Pittsburgh,22,Top 25
Statistic,Name,Team,#,Top 25
