0,1,2,3,4,5,6
1985 National League Team Standings1985 All-Star Game| 1985 Team Standings |1985 World Series,,,,,,
East,Team | Roster,W,L,WP,GB,Payroll
St. Louis Cardinals,101,61,.623,0,"$10,441,639",
New York Mets,98,64,.605,3,"$11,013,714",
Montreal Expos,84,77,.522,16½,"$10,195,246",
Chicago Cubs,77,84,.478,23½,"$13,478,225",
Philadelphia Phillies,75,87,.463,26,"$11,785,445",
Pittsburgh Pirates,57,104,.354,43½,"$10,223,945",
West,Team | Roster,W,L,WP,GB,Payroll
Los Angeles Dodgers,95,67,.586,0,"$11,970,412",
Cincinnati Reds,89,72,.553,5½,"$9,258,848",
San Diego Padres,83,79,.512,12,"$9,801,052",
Houston Astros,83,79,.512,12,"$10,153,335",
Atlanta Braves,66,96,.407,29,"$14,771,382",
San Francisco Giants,62,100,.383,33,"$7,777,945",
N.L.,Team | Roster,W,L,WP,GB,Payroll
National League Team Standings,,,,,,
