0,1,2,3,4,5,6
1986 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
New York Mets,108,54,.667,0,"$13,597,780",
Philadelphia Phillies,86,75,.534,21½,"$11,715,166",
St. Louis Cardinals,79,82,.491,28½,"$9,481,677",
Montreal Expos,78,83,.484,29½,"$11,937,394",
Chicago Cubs,70,90,.438,37,"$16,904,832",
Pittsburgh Pirates,64,98,.395,44,"$10,231,500",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Houston Astros,96,66,.593,0,"$10,368,276",
Cincinnati Reds,86,76,.531,10,"$11,785,036",
San Francisco Giants,83,79,.512,13,"$8,682,000",
San Diego Padres,74,88,.457,22,"$11,897,522",
Los Angeles Dodgers,73,89,.451,23,"$15,471,276",
Atlanta Braves,72,89,.447,23½,"$17,940,286",
National League Team Standings,,,,,,
