0,1,2,3,4
1912 National League Pitcher Review←1911| 1912 Pitching Statistics League Leaders |1913→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Larry Cheney,Chicago,28,Top 25
ERA,Jeff Tesreau,New York,1.96,Top 25
Games,Rube Benton,Cincinnati,50,Top 25
Saves,Slim Sallee,St. Louis,6,Top 25
Shutouts,Marty O'Toole,Pittsburgh,6,Top 25
Nap Rucker,Brooklyn,,,
Strikeouts,Grover Alexander,Philadelphia,195,Top 25
Winning Percentage,Claude Hendrix,Pittsburgh,.727,Top 25
Wins,Larry Cheney,Chicago,26,Top 25
Rube Marquard,New York,,,
Statistic,Name(s),Team(s),#,Top 25
1912 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
