0,1,2,3,4
1978 National League Pitcher Review←1977| 1978 Pitching Statistics League Leaders |1979→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Phil Niekro,Atlanta,22,Top 25
ERA,Craig Swan,New York,2.43,Top 25
Games,Kent Tekulve,Pittsburgh,91,Top 25
Saves,Rollie Fingers,San Diego,37,Top 25
Shutouts,Bob Knepper,San Francisco,6,Top 25
Strikeouts,J.R. Richard,Houston,303,Top 25
Winning Percentage,Gaylord Perry,San Diego,.778,Top 25
Wins,Gaylord Perry,San Diego,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
1978 N.L. History |1978 A.L. History|Year-by-Year History,,,,
