0,1,2,3,4
1894 National LeagueTeam Standings,,,,
Team | Roster,W,L,WP,GB
Baltimore Orioles,89,39,.695,0
New York Giants,88,44,.667,3
Boston Beaneaters,83,49,.629,8
Philadelphia Phillies,71,57,.555,18
Brooklyn Bridegrooms,70,61,.534,20½
Cleveland Spiders,68,61,.527,21½
Pittsburgh Pirates,65,65,.500,25
Chicago Colts,57,75,.432,34
St. Louis Browns,56,76,.424,35
Cincinnati Reds,55,75,.423,35
Washington Senators,45,87,.341,46
Louisville Colonels,36,94,.277,54
Team | Roster,W,L,WP,GB
1894 National League Team Standings,,,,
