0,1,2,3,4,5
1899 National LeagueTeam Standings,,,,,
Team | Roster,W,L,T,WP,GB
Brooklyn Superbas,101,47,2,.682,0
Boston Beaneaters,95,57,1,.625,8
Philadelphia Phillies,94,58,2,.618,9
Baltimore Orioles,86,62,4,.581,15
St. Louis Perfectos,84,67,4,.556,18½
Cincinnati Reds,83,67,7,.553,19
Pittsburgh Pirates,76,73,5,.510,25½
Chicago Orphans,75,73,4,.507,26
Louisville Colonels,75,77,3,.493,28
New York Giants,60,90,3,.400,42
Washington Senators,54,98,3,.355,49
Cleveland Spiders,20,134,0,.130,84
Team | Roster,W,L,T,WP,GB
1899 National League Team Standings,,,,,
