0,1,2,3,4
1976 National League Pitcher Review←1975| 1976 Pitching Statistics League Leaders |1977→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Randy Jones,San Diego,25,Top 25
ERA,John Denny,St. Louis,2.52,Top 25
Games,Dale Murray,Montreal,81,Top 25
Saves,Rawly Eastwick,Cincinnati,26,Top 25
Shutouts,Jon Matlack,New York,6,Top 25
John Montefusco,San Francisco,,,
Strikeouts,Tom Seaver,New York,235,Top 25
Winning Percentage,Steve Carlton,Philadelphia,.741,Top 25
Wins,Randy Jones,San Diego,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
1976 N.L. History |1976 A.L. History|Year-by-Year History,,,,
