0,1,2,3,4
1951 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Warren Spahn,Boston,26,Top 25
ERA,Chet Nichols,Boston,2.88,Top 25
Games,Ted Wilks,St. Louis,65,Top 25
Pittsburgh,,,,
Saves,Ted Wilks,St. Louis,13,Top 25
Pittsburgh,,,,
Shutouts,Warren Spahn,Boston,7,Top 25
Strikeouts,Don Newcombe,Brooklyn,164,Top 25
Warren Spahn,Boston,,,
Winning Percentage,Preacher Roe,Brooklyn,.880,Top 25
Wins,Larry Jansen,New York,23,Top 25
Sal Maglie,,,,
Statistic,Name(s),Team(s),#,Top 25
1951 N.L. History |1951 A.L. History|Year-by-Year History,,,,
